# civil-holidays v1
# jurisdiction: JP
# source: Cabinet Office (内閣府), "国民の祝日について"
#   https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html and the official dates
#   CSV https://www8.cao.go.jp/chosei/shukujitsu/syukujitsu.csv
#   Legal basis: 国民の祝日に関する法律 (Act No. 178 of 1948, as amended).
# retrieved: 2026-07-21
# notes:
#   The 16 national holidays. The two equinox holidays (Shunbun no Hi / Shubun
#   no Hi) are gazetted each February from the astronomical equinox reckoned in
#   Japan Standard Time (UTC+9); the equinox rule kind reproduces the Cabinet
#   Office's published dates, and the golds assert those published dates.
#   振替休日 (furikae): when a national holiday falls on a Sunday, the following
#   non-holiday day becomes a holiday (Act on National Holidays, art. 3(2)). This
#   is modelled with the jp_furikae SubstitutePolicy — it ADDS a "<name> (振替休日)"
#   holiday on the next non-holiday day, resolved calendar-wide so a run of
#   holidays cascades correctly. Applied to the fixed and equinox holidays (the
#   Happy-Monday nth-weekday days are always a Monday and can never fall on a
#   Sunday). China's 调休 make-up days stay OUT OF SCOPE by contrast: they shuffle
#   ordinary workdays onto weekends rather than granting substitute holidays, so
#   they are not holidays at all — see cn.tab and test_civil_holidays_w1b.py.
#   Mountain Day is in force from 2016 (2014 amendment); its rule carries "2016-".
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# Names carry the official Japanese (ja) name as primary, English (en) alongside.
# --- fixed ---
fixed       | ja:元日 ;; en:New Year's Day               | 1 1   | public |  | jp_furikae
fixed       | ja:建国記念の日 ;; en:National Foundation Day  | 2 11  | public |  | jp_furikae
fixed       | ja:天皇誕生日 ;; en:Emperor's Birthday        | 2 23  | public |  | jp_furikae
fixed       | ja:昭和の日 ;; en:Showa Day                  | 4 29  | public |  | jp_furikae
fixed       | ja:憲法記念日 ;; en:Constitution Memorial Day  | 5 3   | public |  | jp_furikae
fixed       | ja:みどりの日 ;; en:Greenery Day              | 5 4   | public |  | jp_furikae
fixed       | ja:こどもの日 ;; en:Children's Day            | 5 5   | public |  | jp_furikae
fixed       | ja:山の日 ;; en:Mountain Day                 | 8 11  | public |  | jp_furikae| 2016-
fixed       | ja:文化の日 ;; en:Culture Day                | 11 3  | public |  | jp_furikae
fixed       | ja:勤労感謝の日 ;; en:Labour Thanksgiving Day  | 11 23 | public |  | jp_furikae
#
# --- Happy-Monday nth-weekday ---
nth_weekday | ja:成人の日 ;; en:Coming of Age Day          | 1 2 0  | public |  |
nth_weekday | ja:海の日 ;; en:Marine Day                   | 7 3 0  | public |  |
nth_weekday | ja:敬老の日 ;; en:Respect for the Aged Day    | 9 3 0  | public |  |
nth_weekday | ja:スポーツの日 ;; en:Sports Day              | 10 2 0 | public |  |
#
# --- equinox holidays (JST = UTC+9) ---
equinox     | ja:春分の日 ;; en:Vernal Equinox Day         | march 9     | public |  | jp_furikae
equinox     | ja:秋分の日 ;; en:Autumnal Equinox Day       | september 9 | public |  | jp_furikae
