# civil-holidays v1
# jurisdiction: BE
# source: https://www.ejustice.just.fgov.be/eli/besluit/1974/04/18/1974041807/justel
#   (Koninklijk besluit van 18 april 1974 / Arrêté royal — the 10 Belgian legal
#   public holidays (wettelijke feestdagen). Local copy papers/holidays/be_holidays.md.)
#   Names are the official Dutch (Nederlands); French/German glosses ride the
#   translations layer. The 10 legal holidays do NOT include Easter Sunday or
#   Whit Sunday (both Sundays, not distinct legal feestdagen) — the reference
#   package lists them, a documented differential in test_holidays_be.py.
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# Belgium is trilingual (nl/fr/de); the Dutch primary name is the join key.
fixed   | nl:Nieuwjaar ;; fr:Nouvel An ;; de:Neujahr                    | 1 1   | public          |  |
easter  | nl:Paasmaandag ;; fr:Lundi de Pâques ;; de:Ostermontag        | 1     | public religious |  |
fixed   | nl:Dag van de Arbeid ;; fr:Fête du Travail ;; de:Tag der Arbeit | 5 1  | public          |  |
easter  | nl:O. L. H. Hemelvaart ;; fr:Ascension ;; de:Christi Himmelfahrt | 39   | public religious |  |
easter  | nl:Pinkstermaandag ;; fr:Lundi de Pentecôte ;; de:Pfingstmontag | 50   | public religious |  |
fixed   | nl:Nationale feestdag ;; fr:Fête nationale ;; de:Nationalfeiertag | 7 21 | public          |  |
fixed   | nl:O. L. V. Hemelvaart ;; fr:Assomption ;; de:Mariä Himmelfahrt | 8 15 | public religious |  |
fixed   | nl:Allerheiligen ;; fr:Toussaint ;; de:Allerheiligen          | 11 1  | public religious |  |
fixed   | nl:Wapenstilstand ;; fr:Armistice ;; de:Waffenstillstand      | 11 11 | public          |  |
fixed   | nl:Kerstmis ;; fr:Noël ;; de:Weihnachten                      | 12 25 | public religious |  |
